icici_code,nse_symbol,company_name,series,isin_code,group,group_source,industry,industry_source,nifty_company_name,nse_macro,nse_sector,nse_industry_info,nse_basic_industry
DQENTE,DQE,Dq Entertainment (Internationa,BE,INE656K01010,DQ Entertainment Group,corporate_group_repository.xlsx,,,,,,,
DRAHEA,AGARWALEYE,Dr Agarwals Health Care Ltd,EQ,INE943P01029,,,Healthcare,ind_niftytotalmarket_list.csv,Dr. Agarwal's Health Care Ltd.,,,,
DRCSYS,DRCSYSTEMS,Drc Systems India Limited,EQ,INE03RS01027,DRC Systems Group,corporate_group_repository.xlsx,Computers - Software & Consulting,nse_getSymbolData.basicIndustry,,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
DRECOR,DREDGECORP,Dredging Corporation Of India,EQ,INE506A01018,Dredging Corporation Of India Group,corporate_group_repository.xlsx,Dredging,nse_getSymbolData.basicIndustry,,Services,Services,Engineering Services,Dredging
DREOFS,DREOFS,Dredging Corp Of India Ofs,EQ,INE000000098,,,,,,,,,
DRESER,DREAMFOLKS,Dreamfolks Services Limited,EQ,INE0JS101016,Dreamfolks group,corporate_group_repository.xlsx,Airport & Airport services,nse_getSymbolData.basicIndustry,,Services,Services,Transport Infrastructure,Airport & Airport services
DRIND,DRIND,D.r.industries,EQ,INE197B01014,,,,,,,,,
DRLAL,LALPATHLAB,Dr. Lal Pathlabs Limited,EQ,INE600L01024,Dr. Lal Path Labs Group,corporate_group_repository.xlsx,Healthcare,ind_niftytotalmarket_list.csv,Dr. Lal Path Labs Ltd.,,,,
DRREDD,DRREDDY,Dr Reddys Laboratories Ltd,EQ,INE089A01031,,,Healthcare,ind_niftytotalmarket_list.csv,Dr. Reddy's Laboratories Ltd.,,,,
DSJCOM,KEEPLEARN,Dsj Keep Learning Limited,EQ,INE055C01020,D S J Keep Learning Group,corporate_group_repository.xlsx,Education,nse_getSymbolData.basicIndustry,,Consumer Discretionary,Consumer Services,Other Consumer Services,Education
DSKULK,DSKULKARNI,Dskulkarni Developers Ltd,BE,INE891A01022,,,,,,,,,
