icici_code,nse_symbol,company_name,series,isin_code,group,group_source,industry,industry_source,nifty_company_name,nse_macro,nse_sector,nse_industry_info,nse_basic_industry
20MICR,20MICRONS,20 Microns Limited,EQ,INE144J01027,20 Microns Group,corporate_group_repository.xlsx,Industrial Minerals,nse_getSymbolData.basicIndustry,,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals
3IINFO,3IINFOLTD,3i Infotech Limited,EQ,INE748C01038,3i Group,corporate_group_repository.xlsx,Computers - Software & Consulting,nse_getSymbolData.basicIndustry,,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
3IIRE1,3IINFO-RE,3i Infotech Ltd Re,BE,INE748C20012,,,Computers - Software & Consulting,nse_getSymbolData.basicIndustry,,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
3MIND,3MINDIA,3m India Limited,EQ,INE470A01017,3M (F) Group,corporate_group_repository.xlsx,Diversified,ind_niftytotalmarket_list.csv,3M India Ltd.,,,,
5PACAP,5PAISA,Five Paisa Capital Limited,EQ,INE618L01018,IIFL Group,corporate_group_repository.xlsx,Stockbroking & Allied,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
8KMILE,SECURKLOUD,Securekloud Technologies Ltd,EQ,INE650K01021,Securekloud Technologies Group,corporate_group_repository.xlsx,IT Enabled Services,nse_getSymbolData.basicIndustry,,Information Technology,Information Technology,IT - Services,IT Enabled Services
A1CHAM,AICHAMP,Ai Champdany Industries Limite,BE,INE768E01024,Pujara group,corporate_group_repository.xlsx,TEXTILES,nse_getSymbolData.basicIndustry,,CONSUMER,TEXTILES,TEXTILE PRODUCTS,TEXTILES
A2ZMAI,A2ZINFRA,A2z Infra Engineering Limited,BE,INE619I01012,A2Z Group,corporate_group_repository.xlsx,Diversified Commercial Services,nse_getSymbolData.basicIndustry,,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
AAATEC,AAATECH,Aaa Technologies Limited,EQ,INE0D0U01013,A A A Technologies Group,corporate_group_repository.xlsx,Consulting Services,nse_getSymbolData.basicIndustry,,Services,Services,Commercial Services & Supplies,Consulting Services
AADHOS,AADHARHFC,Aadhar Housing Finance Limited,EQ,INE883F01010,,,Financial Services,ind_niftytotalmarket_list.csv,Aadhar Housing Finance Ltd.,,,,
AAKEXP,AAKASH,Aakash Exploration Serv Ltd,BE,INE087Z01024,Aakash Exploration Group,corporate_group_repository.xlsx,Offshore Support Solution Drilling,nse_getSymbolData.basicIndustry,,Energy,Oil Gas & Consumable Fuels,Oil,Offshore Support Solution Drilling
AARDEN,VGL,Varvee Global  Limited,EQ,INE273D01027,,,Other Textile Products,nse_getSymbolData.basicIndustry,,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
AARDR,AAREYDRUGS,Aarey Drugs & Pharmaceuticals,EQ,INE198H01019,Aarey Group,corporate_group_repository.xlsx,Pharmaceuticals,nse_getSymbolData.basicIndustry,,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AARDRU,AARTIDRUGS,Aarti Drugs Limited,EQ,INE767A01016,Aarti Drugs Group,corporate_group_repository.xlsx,Healthcare,ind_niftytotalmarket_list.csv,Aarti Drugs Ltd.,,,,
AARENC,AARVI,Aarvi Encon Limited,EQ,INE754X01016,Aarvi Group,corporate_group_repository.xlsx,Diversified Commercial Services,nse_getSymbolData.basicIndustry,,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
AARIN,AARON,Aaron Industries Limited,EQ,INE721Z01010,Aaron Group,corporate_group_repository.xlsx,Industrial Products,nse_getSymbolData.basicIndustry,,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
AARIND,AARTIIND,Aarti Industries Ltd,EQ,INE769A01020,Aarti Group,corporate_group_repository.xlsx,Chemicals,ind_niftytotalmarket_list.csv,Aarti Industries Ltd.,,,,
AARPHA,AARTIPHARM,Aarti Pharmalabs Limited,EQ,INE0LRU01027,Aarti Group,corporate_group_repository.xlsx,Healthcare,ind_niftytotalmarket_list.csv,Aarti Pharmalabs Ltd.,,,,
AARRE1,AARTI-RE,Aarti Surfactants Limited Re,BE,INE09EO20013,,,Specialty Chemicals,nse_getSymbolData.basicIndustry,,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
AARSOL,AARTECH,Aartech Solonics Ltd,EQ,INE01C001026,,,Heavy Electrical Equipment,nse_getSymbolData.basicIndustry,,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
AARSUR,AARTISURF,Aarti Surfactants Limited,EQ,INE09EO01013,Aarti Surfactants Group,corporate_group_repository.xlsx,Specialty Chemicals,nse_getSymbolData.basicIndustry,,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
AASTRA,TCC,Tcc Concept Limited,EQ,INE887D01016,T C C Concept Group,corporate_group_repository.xlsx,Internet & Catalogue Retail,nse_getSymbolData.basicIndustry,,Consumer Discretionary,Consumer Services,Retailing,Internet & Catalogue Retail
AAVFIN,AAVAS,Aavas Financiers Limited,EQ,INE216P01012,Kedaara Capital & Partners Group,corporate_group_repository.xlsx,Financial Services,ind_niftytotalmarket_list.csv,Aavas Financiers Ltd.,,,,
ABAHOL,AFSL,Abans Financial Services Ltd,EQ,INE00ZE01026,Abans Group,corporate_group_repository.xlsx,Holding Company,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Finance,Holding Company
ABAOFF,ABAN,Aban Offshore Ltd,BE,INE421A01028,Aban group,corporate_group_repository.xlsx,Offshore Support Solution Drilling,nse_getSymbolData.basicIndustry,,Energy,Oil Gas & Consumable Fuels,Oil,Offshore Support Solution Drilling
ABB,ABB,Abb India Limited,EQ,INE117A01022,Asea Brown Boveri (F) Group,corporate_group_repository.xlsx,Capital Goods,ind_niftytotalmarket_list.csv,ABB India Ltd.,,,,
ABBIND,ABBOTINDIA,Abbott India Limited,EQ,INE358A01014,Abbott (F) Group,corporate_group_repository.xlsx,Healthcare,ind_niftytotalmarket_list.csv,Abbott India Ltd.,,,,
ABBLAB,PHARMACIA,Pharmacia Healthcare Ltd,EQ,INE252B01025,,,,,,,,,
ABBPOW,POWERINDIA,Hitachi Energy India Limited,EQ,INE07Y701011,Hitachi Energy Group,corporate_group_repository.xlsx,Capital Goods,ind_niftytotalmarket_list.csv,Hitachi Energy India Ltd.,,,,
ABCBEA,ANTFRIBEAR,Abc Bearings Ltd,EQ,INE779A01011,,,,,,,,,
ABHCOR,ABHISHEK,Abhishek Corporation Limited,BE,INE004I01017,Abhishek Corpn. Group,corporate_group_repository.xlsx,SPINNING-COTTON/BLENDED,nse_getSymbolData.basicIndustry,,CONSUMER,TEXTILES,TEXTILES - COTTON,SPINNING-COTTON/BLENDED
ABINF,ABINFRA,A B Infrabuild Limited,EQ,INE00YB01025,,,Civil Construction,nse_getSymbolData.basicIndustry,,Industrials,Construction,Construction,Civil Construction
ABIRE1,ABIN-RE1,A B Infrabuild Limited Re,BE,INE00YB20025,,,Civil Construction,nse_getSymbolData.basicIndustry,,Industrials,Construction,Construction,Civil Construction
ABMINT,ABMINTLLTD,Abm International Limited,BE,INE251C01025,ABM International,corporate_group_repository.xlsx,,,,,,,
ABSCRL,GSEC10ABSL,Aditya Birla Slife Cr10ygl Etf,EQ,INF209KC1142,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
ABSLCB,ABGSEC,Adityabirla Snlfcrisil Giltetf,EQ,INF209KC1134,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
ABSPSE,ABSLPSE,Aditya Birla Sun Life Pse Etf,EQ,INF209KB19Z4,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
ACC,ACC,Acc Limited,EQ,INE012A01025,Adani Group,corporate_group_repository.xlsx,Construction Materials,ind_niftytotalmarket_list.csv,ACC Ltd.,,,,
ACCKAL,ACCELYA,Accelya Solutions India Ltd,EQ,INE793A01012,Accelya (F) Group,corporate_group_repository.xlsx,Computers - Software & Consulting,nse_getSymbolData.basicIndustry,,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
ACCSHI,ACCURACY,Accuracy Shipping Limited,EQ,INE648Z01023,Accuracy Shipping Group,corporate_group_repository.xlsx,Logistics Solution Provider,nse_getSymbolData.basicIndustry,,Services,Services,Transport Services,Logistics Solution Provider
ACEIN,ACEINTEG,Ace Integrated Solutions Ltd,EQ,INE543V01017,Ace Integrated Solutions Group,corporate_group_repository.xlsx,Diversified Commercial Services,nse_getSymbolData.basicIndustry,,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
ACMSOL,ACMESOLAR,Acme Solar Holdings Limited,EQ,INE622W01025,,,Power,ind_niftytotalmarket_list.csv,ACME Solar Holdings Ltd.,,,,
ACRIN,CARYSIL,Carysil Limited,EQ,INE482D01024,Carysil Group,corporate_group_repository.xlsx,Household Appliances,nse_getSymbolData.basicIndustry,,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
ACRTEC,ACROPETAL,Acropetal Technologies Limited,BE,INE055L01013,,,,,,,,,
ACTCON,ACE,Action Construction Equipments,EQ,INE731H01025,Action Construction Equipment Group,corporate_group_repository.xlsx,Capital Goods,ind_niftytotalmarket_list.csv,Action Construction Equipment Ltd.,,,,
ADAENT,ADANIENT,Adani Enterprises Limited,EQ,INE423A01024,Adani Group,corporate_group_repository.xlsx,Metals & Mining,ind_niftytotalmarket_list.csv,Adani Enterprises Ltd.,,,,
ADAGAS,ATGL,Adani Total Gas Limited,EQ,INE399L01023,Adani Group,corporate_group_repository.xlsx,Oil Gas & Consumable Fuels,ind_niftytotalmarket_list.csv,Adani Total Gas Ltd.,,,,
ADAGRE,ADANIGREEN,Adani Green Energy Ltd,EQ,INE364U01010,Adani Group,corporate_group_repository.xlsx,Power,ind_niftytotalmarket_list.csv,Adani Green Energy Ltd.,,,,
ADAPOR,ADANIPORTS,Adani Port And Special Econo,EQ,INE742F01042,Adani Group,corporate_group_repository.xlsx,Services,ind_niftytotalmarket_list.csv,Adani Ports and Special Economic Zone Ltd.,,,,
ADAPOW,ADANIPOWER,Adani Power Limited,EQ,INE814H01029,,,Power,ind_niftytotalmarket_list.csv,Adani Power Ltd.,,,,
ADARE1,ADANI-RE,Adani Enterprises Ltd Re,BE,INE423A20016,,,TRADING - MINERALS/ MINING,nse_getSymbolData.basicIndustry,,COMMODITIES,METALS,MINERALS/MINING,TRADING - MINERALS/ MINING
ADATRA,ADANIENSOL,Adani Energy Solutions Limited,EQ,INE931S01010,Adani Group,corporate_group_repository.xlsx,Power,ind_niftytotalmarket_list.csv,Adani Energy Solutions Ltd.,,,,
ADAWIL,AWL,Awl Agri Business Limited,EQ,INE699H01024,Adani Group,corporate_group_repository.xlsx,Fast Moving Consumer Goods,ind_niftytotalmarket_list.csv,AWL Agri Business Ltd.,,,,
ADCIND,KRONECOMM,Adc India Communications Limit,EQ,INE833A01016,ADC INDIA COMMUNICATIONS Group,corporate_group_repository.xlsx,,,,,,,
ADCINF,CEINSYS,Ceinsys Tech Limited,EQ,INE016Q01014,Meghe Group,corporate_group_repository.xlsx,IT Enabled Services,nse_getSymbolData.basicIndustry,,Information Technology,Information Technology,IT - Services,IT Enabled Services
ADFFOO,ADFFOODS,Adf Foods Limited,EQ,INE982B01027,ADF Foods Group,corporate_group_repository.xlsx,Packaged Foods,nse_getSymbolData.basicIndustry,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
ADHIND,INCREDIBLE,Incredible Industries Ltd,EQ,INE452L01012,Incredible Industries Group,corporate_group_repository.xlsx,Iron & Steel Products,nse_getSymbolData.basicIndustry,,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
ADHOIN,ADVENTHTL,Advent Hotels International Li,EQ,INE28GN01010,,,Hotels & Resorts,nse_getSymbolData.basicIndustry,,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
ADIAI,ABSLLIQUID,Aditya Birla Ai Index Etf,EQ,INF209KB18T9,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
ADIAMC,ABSLAMC,Aditya Birla Sun Life Amc Ltd,EQ,INE404A01024,Birla Aditya Group,corporate_group_repository.xlsx,Financial Services,ind_niftytotalmarket_list.csv,Aditya Birla Sun Life AMC Ltd.,,,,
ADIB10,ABSL10BANK,Aditya Birla Bse Top10 Banketf,EQ,INF209KC1670,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
ADIBI,ABCIL,Aditya Birla Chemicals (India),EQ,INE605B01016,Aditya Birla Group,corporate_group_repository.xlsx,CHEMICALS - INORGANIC,nse_getSymbolData.basicIndustry,,COMMODITIES,CHEMICALS,CHEMICALS,CHEMICALS - INORGANIC
ADIBIR,ABIRLANUVO,Aditya Birla Nuvo Limited,EQ,INE069A01017,Birla Aditya Group,corporate_group_repository.xlsx,DIVERSIFIED SERVICES,nse_getSymbolData.basicIndustry,,SERVICES,SERVICES,SERVICES,DIVERSIFIED SERVICES
ADICAP,ABCAPITAL,Aditya Birla Capital Limited,EQ,INE674K01013,Birla Aditya Group,corporate_group_repository.xlsx,Financial Services,ind_niftytotalmarket_list.csv,Aditya Birla Capital Ltd.,,,,
ADIFAS,ABFRL,Aditya Birla Fashion & Rtl Ltd,EQ,INE647O01011,Birla Aditya Group,corporate_group_repository.xlsx,Consumer Services,ind_niftytotalmarket_list.csv,Aditya Birla Fashion and Retail Ltd.,,,,
ADIFIN,PRIVISCL,Privi Speciality Chemicals Ltd,EQ,INE959A01019,Privi Group,corporate_group_repository.xlsx,Chemicals,ind_niftytotalmarket_list.csv,Privi Speciality Chemicals Ltd.,,,,
ADIHEA,HEALTHY,Aditya Bir Sun  Nif Health Etf,EQ,INF209KB10C2,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
ADIINF,CPPLUS,Aditya Infotech Limited,EQ,INE819V01029,,,Industrial Products,nse_getSymbolData.basicIndustry,,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
ADIINT,ADITYAINTL,Aditya International Ltd,EQ,INE908B01014,,,,,,,,,
ADILIF,ABLBL,Aditya Birla Lifestyle Brands,EQ,INE14LE01019,,,Consumer Services,ind_niftytotalmarket_list.csv,Aditya Birla Lifestyle Brands Ltd.,,,,
ADIMOM,MOMENTUM,Aditya Birla Nif 200 Mom Etf,EQ,INF209KB14K7,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
ADIMON,BIRLAMONEY,Aditya Birla Money Ltd,EQ,INE865C01022,Birla Aditya Group,corporate_group_repository.xlsx,Stockbroking & Allied,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
ADIMSC,ABSLMSCIN,Aditya Birla Sun Msci Ind Etf,EQ,INF209KC1662,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
ADINIT,TECH,Aditya Birla Sun Nifty It Etf,EQ,INF209KB11D8,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
ADIQUA,NIFTYQLITY,Aditya Birla Nif 200 Qlt Etf,EQ,INF209KB15K4,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
ADIRE1,ABFRL-RE,Aditya Birla Fash Rights Ent,BE,INE647O20011,,,,,,,,,
ADISIL,SILVER,Aditya Birla Life Silver Etf,EQ,INF209KB19F6,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
ADIVIS,AVL,Aditya Vision Limited,EQ,INE679V01027,,,Speciality Retail,nse_getSymbolData.basicIndustry,,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
ADLENT,IMAGICAA,Imagicaaworld Entertainmen Ltd,EQ,INE172N01012,Malpani Group,corporate_group_repository.xlsx,Consumer Services,ind_niftytotalmarket_list.csv,Imagicaaworld Entertainment Ltd.,,,,
ADLFIL,RELMEDIA,Reliance Mediaworks Limited,EQ,INE540B01015,,,Film Production Distribution & Exhibition,nse_getSymbolData.basicIndustry,,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Film Production Distribution & Exhibition
ADOWEL,ADOR,Ador Welding Limited,EQ,INE045A01017,Ador Group,corporate_group_repository.xlsx,Other Industrial Products,nse_getSymbolData.basicIndustry,,Industrials,Capital Goods,Industrial Products,Other Industrial Products
ADRRE1,ADRO-RE,Adroit Infotech Limited Re,BE,INE737B20017,,,IT Enabled Services,nse_getSymbolData.basicIndustry,,Information Technology,Information Technology,IT - Services,IT Enabled Services
ADVAGR,ADVANCE,Advance Agrolife Ltd,EQ,INE1B0W01010,,,Pesticides & Agrochemicals,nse_getSymbolData.basicIndustry,,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
ADVENZ,ADVENZYMES,Advanced Enzyme Techno Ltd,EQ,INE837H01020,AETL Group,corporate_group_repository.xlsx,Healthcare,ind_niftytotalmarket_list.csv,Advanced Enzyme Tech Ltd.,,,,
ADVHOT,ADVANIHOTR,Advani Hotels & Resorts (India,EQ,INE199C01026,Advani Hotels & Resorts Group,corporate_group_repository.xlsx,Hotels & Resorts,nse_getSymbolData.basicIndustry,,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
ADVIND,ADVANTA,Advanta Limited,EQ,INE517H01028,Advanta Group,corporate_group_repository.xlsx,CONSUMER FOOD,nse_getSymbolData.basicIndustry,,CONSUMER,CONSUMER GOODS,CONSUMER NON DURABLES,CONSUMER FOOD
ADVINF,ADVAIT,Advait Energy Transitions Limi,EQ,INE0ALI01010,Advait Infratech Group,corporate_group_repository.xlsx,Other Electrical Equipment,nse_getSymbolData.basicIndustry,,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
ADVMET,AMTL,Advance Metering Tech Ltd,BE,INE436N01029,PKRGroup,corporate_group_repository.xlsx,,,,,,,
ADVTRA,GOYALALUM,Goyal Aluminiums Limited,BE,INE705X01026,Goyal Aluminiums Group,corporate_group_repository.xlsx,Trading & Distributors,nse_getSymbolData.basicIndustry,,Services,Services,Commercial Services & Supplies,Trading & Distributors
AEGLOG,AEGISLOG,Aegis Logistics Ltd,EQ,INE208C01025,Aegis (F) Group,corporate_group_repository.xlsx,Oil Gas & Consumable Fuels,ind_niftytotalmarket_list.csv,Aegis Logistics Ltd.,,,,
AEGVOP,AEGISVOPAK,Aegis Vopak Terminals Limited,EQ,INE0INX01018,,,Oil Gas & Consumable Fuels,ind_niftytotalmarket_list.csv,Aegis Vopak Terminals Ltd.,,,,
AEQLIM,AEQUS,Aequs Limited,EQ,INE947N01017,,,Aerospace & Defense,nse_getSymbolData.basicIndustry,,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
AERIND,AEROFLEX,Aeroflex Industries Limited,EQ,INE024001021,Sat Group,corporate_group_repository.xlsx,Iron & Steel Products,nse_getSymbolData.basicIndustry,,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
AETIND,AETHER,Aether Industries Limited,EQ,INE0BWX01014,Aether Industries Group,corporate_group_repository.xlsx,Chemicals,ind_niftytotalmarket_list.csv,Aether Industries Ltd.,,,,
AFCINF,AFCONS,Afcons Infrastructure Limited,EQ,INE101I01011,,,Construction,ind_niftytotalmarket_list.csv,Afcons Infrastructure Ltd.,,,,
AFFIND,AFFLE,Affle 3i Limited,EQ,INE00WC01027,Affle (F) Group,corporate_group_repository.xlsx,Information Technology,ind_niftytotalmarket_list.csv,Affle 3i Ltd.,,,,
AFFROB,AFFORDABLE,Affordable Robotic Autom Ltd,EQ,INE692Z01013,Affordable Robotic & Automation Group,corporate_group_repository.xlsx,Industrial Products,nse_getSymbolData.basicIndustry,,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
AFL,INSPIRISYS,Inspirisys Solutions Limited,BE,INE020G01017,CAC holdings (F) group,corporate_group_repository.xlsx,IT Enabled Services,nse_getSymbolData.basicIndustry,,Information Technology,Information Technology,IT - Services,IT Enabled Services
AFTIND,ASSAMFRONT,Aft Industries Ltd,EQ,INE417A01018,,,,,,,,,
AFTINF,AFTEK,Aftek Ltd,BE,INE796A01023,Aftek Technology Group,corporate_group_repository.xlsx,,,,,,,
AGAIND,AGARIND,Agarwal Industrial Corporation,EQ,INE204E01012,AICL group,corporate_group_repository.xlsx,Petrochemicals,nse_getSymbolData.basicIndustry,,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals
AGCNET,BBOX,Black Box Limited,EQ,INE676A01027,Essar (Ruia) Group,corporate_group_repository.xlsx,Information Technology,ind_NiftySmallcap500_list.csv,Black Box Ltd.,,,,
AGIINF,AGIIL,Agi Infra Limited,EQ,INE976R01033,,,Residential Commercial Projects,nse_getSymbolData.basicIndustry,,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
AGREVO,AGREVOIND,Bayer  Cropscience India Ltd,EQ,INE556A01013,,,,,,,,,
AGRITE,AGRITECH,Agri-Tech (India) Limited,BE,INE449G01018,Agri-Tech (India) Group,corporate_group_repository.xlsx,Other Agricultural Products,nse_getSymbolData.basicIndustry,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
AGRPHO,AGROPHOS,Agro Phos India Limited,EQ,INE740V01019,Agro Phos (India) Group,corporate_group_repository.xlsx,Fertilizers,nse_getSymbolData.basicIndustry,,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
AGRTE,SUNDROP,Sundrop Brands Limited,EQ,INE209A01019,Conagra Brands (F) Group,corporate_group_repository.xlsx,Edible Oil,nse_getSymbolData.basicIndustry,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
AHLCON,AHLUCONT,Ahluwalia Contracts (India) Lt,EQ,INE758C01029,Ahluwalia Construction Group,corporate_group_repository.xlsx,Construction,ind_niftytotalmarket_list.csv,Ahluwalia Contracts (India) Ltd.,,,,
AHLENG,AHLADA,Ahlada Engineers Ltd,EQ,INE00PV01013,Ahlada Group,corporate_group_repository.xlsx,Furniture Home Furnishing,nse_getSymbolData.basicIndustry,,Consumer Discretionary,Consumer Durables,Consumer Durables,Furniture Home Furnishing
AHMELE,TORRENTAEC,Torrent Power Aec Limited,EQ,INE424A01014,,,,,,,,,
AIAENG,AIAENG,Aia Engineering Ltd,EQ,INE212H01026,A I A Engineering Group,corporate_group_repository.xlsx,Capital Goods,ind_niftytotalmarket_list.csv,AIA Engineering Ltd.,,,,
AIMPES,AIMCOPEST,Aimco Pesticides Ltd.,EQ,INE008B01013,AIMCO Group,corporate_group_repository.xlsx,,,,,,,
AIRLAM,AIROLAM,Airo Lam Limited,EQ,INE801L01010,Airo Lam Group,corporate_group_repository.xlsx,Plywood Boards/ Laminates,nse_getSymbolData.basicIndustry,,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates
AIRLTD,AIRAN,Airan Ltd,EQ,INE645W01026,Airan Group,corporate_group_repository.xlsx,IT Enabled Services,nse_getSymbolData.basicIndustry,,Information Technology,Information Technology,IT - Services,IT Enabled Services
AJAENG,AJAXENGG,Ajax Engineering Limited,EQ,INE274Y01021,,,Capital Goods,ind_niftytotalmarket_list.csv,Ajax Engineering Ltd.,,,,
AJAPHA,AJANTPHARM,Ajanta Pharma Ltd,EQ,INE031B01049,Ajanta Pharma Group,corporate_group_repository.xlsx,Healthcare,ind_niftytotalmarket_list.csv,Ajanta Pharmaceuticals Ltd.,,,,
AJMREA,AJMERA,Ajmera Realty & Infra India Li,EQ,INE298G01035,,,Residential Commercial Projects,nse_getSymbolData.basicIndustry,,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
AJOBIO,AJOONI,Ajooni Biotech Limited,EQ,INE820Y01021,Ajooni Biotech Group,corporate_group_repository.xlsx,Animal Feed,nse_getSymbolData.basicIndustry,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Animal Feed
AJORE1,AJOONI-RE1,Ajooni Biotech Ltd Rights Ent,BE,INE820Y20021,,,Animal Feed,nse_getSymbolData.basicIndustry,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Animal Feed
AKAINF,AKASH,Akash Infra-Projects Limited,EQ,INE737W01013,Akash Group,corporate_group_repository.xlsx,Civil Construction,nse_getSymbolData.basicIndustry,,Industrials,Construction,Construction,Civil Construction
AKGEXI,AKG,Akg Exim Limited,EQ,INE00Y801016,AKG Exim Group,corporate_group_repository.xlsx,Trading & Distributors,nse_getSymbolData.basicIndustry,,Services,Services,Commercial Services & Supplies,Trading & Distributors
AKGRE1,AKG-RE,Akg Exim Limited Rights Issue,BE,INE00Y820016,,,Trading & Distributors,nse_getSymbolData.basicIndustry,,Services,Services,Commercial Services & Supplies,Trading & Distributors
AKIIND,AKI,Aki India Limited,EQ,INE642Z01026,AKI Group,corporate_group_repository.xlsx,Leather And Leather Products,nse_getSymbolData.basicIndustry,,Consumer Discretionary,Consumer Durables,Consumer Durables,Leather And Leather Products
AKMFIN,AFIL,Akme Fintrade India Limited,BE,INE916Y01027,,,Non Banking Financial Company (NBFC),nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
AKSOPT,AKSHOPTFBR,Aksh Optifibre Limited,EQ,INE523B01011,Aksh Group,corporate_group_repository.xlsx,Telecom - Equipment & Accessories,nse_getSymbolData.basicIndustry,,Telecommunication,Telecommunication,Telecom - Equipment & Accessories,Telecom - Equipment & Accessories
AKSRE1,AKSH-RE,Akshar Spintex Limited Re,BE,INE256Z20017,,,Other Textile Products,nse_getSymbolData.basicIndustry,,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
AKSSPI,AKSHAR,Akshar Spintex Limited,EQ,INE256Z01025,Akshar Spintex Group,corporate_group_repository.xlsx,Other Textile Products,nse_getSymbolData.basicIndustry,,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
AKUDRU,AKUMS,Akums Drugs And Pharma Ltd,EQ,INE09XN01023,,,Healthcare,ind_niftytotalmarket_list.csv,Akums Drugs and Pharmaceuticals Ltd.,,,,
AKZNOB,AKZOINDIA,Akzo Nobel India Limited,EQ,INE133A01011,AkzoNobel Group,corporate_group_repository.xlsx,Consumer Durables,ind_niftytotalmarket_list.csv,Akzo Nobel India Ltd.,,,,
ALALIM,ALANKIT,Alankit Limited,EQ,INE914E01040,Alankit Group,corporate_group_repository.xlsx,Diversified Commercial Services,nse_getSymbolData.basicIndustry,,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
ALBDAV,ALBERTDAVD,Albert David Ltd,EQ,INE155C01010,Kothari Group,corporate_group_repository.xlsx,Pharmaceuticals,nse_getSymbolData.basicIndustry,,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ALBWIL,ALBRMORARJ,Rhodia Specialty Chemicals Ltd,BE,INE255B01010,,,,,,,,,
ALCLIM,ALCHEM,Alchemist Limited,BE,INE964B01033,Alchemist group,corporate_group_repository.xlsx,,,,,,,
ALECHE,ALEMBICLTD,Alembic Ltd,EQ,INE426A01027,Alembic Group,corporate_group_repository.xlsx,Residential Commercial Projects,nse_getSymbolData.basicIndustry,,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
